"CloudletID","Priority","Status","vmID","vmSize","vmMIPS","cloudletSize","waitingTimeSeconds","cloudletLength","cpuRequest","memoryRequest","cloudletCPUCores","StartTime","finishTime","exeTime"
"0","0","SUCCESS","0","32768","2000.0","0","0.0","156","0.04065","0.02069","2","12.199999999999973","15.65599999999999","3.4560000000000173"
"1","0","SUCCESS","9","32768","2000.0","0","0.0","156","0.04065","0.02069","2","12.199999999999973","15.76599999999999","3.5660000000000167"
"2","0","SUCCESS","3","32768","2000.0","0","0.0","156","0.04065","0.02069","2","12.199999999999973","15.76599999999999","3.5660000000000167"
"3","0","SUCCESS","1","32768","1000.0","0","0.0","156","0.04065","0.02069","2","12.199999999999973","19.238749999999968","7.038749999999995"
"6","0","SUCCESS","4","32768","2000.0","0","0.0","66701","0.2505","0.001554","2","12.199999999999973","183.42500000000678","171.22500000000682"
"7","0","SUCCESS","2","32768","1000.0","0","0.0","169","0.2505","0.001554","2","12.199999999999973","12.987345309381235","0.7873453093812621"
"8","0","SUCCESS","4","32768","2000.0","0","0.0","169","0.2505","0.001554","2","12.199999999999973","12.547345309381237","0.3473453093812644"
"9","0","SUCCESS","5","32768","1000.0","0","0.0","36","0.0625","0.1184","2","12.199999999999973","13.207345309381234","1.007345309381261"
"10","0","SUCCESS","6","32768","4000.0","0","0.0","36","0.0625","0.1184","2","12.199999999999973","12.437345309381238","0.23734530938126497"
"11","0","SUCCESS","7","32768","1000.0","0","0.0","36","0.0625","0.1184","2","12.199999999999973","12.877345309381235","0.6773453093812627"
"14","0","SUCCESS","3","32768","2000.0","0","0.0","25075","0.05109","0.03906","2","12.199999999999973","355.6700000000281","343.4700000000281"
"15","0","SUCCESS","9","32768","2000.0","0","0.0","25075","0.05109","0.03906","2","12.199999999999973","353.2500000000278","341.0500000000278"
"17","0","SUCCESS","6","32768","4000.0","0","0.0","25075","0.0625","0.06213","2","12.199999999999973","136.570000000001","124.37000000000101"
"18","0","SUCCESS","8","32768","1000.0","0","0.0","83","0.0625","0.06213","2","12.199999999999973","14.485999999999995","2.2860000000000227"
"19","0","SUCCESS","0","32768","2000.0","0","0.0","83","0.0625","0.06213","2","12.199999999999973","13.716","1.5160000000000267"
"20","0","SUCCESS","1","32768","1000.0","0","0.0","83","0.0625","0.06213","2","12.199999999999973","15.325999999999992","3.126000000000019"
"21","0","SUCCESS","3","32768","2000.0","0","0.0","101","0.0625","0.06213","2","12.199999999999973","14.045999999999998","1.846000000000025"
"22","0","SUCCESS","9","32768","2000.0","0","0.0","101","0.0625","0.06213","2","12.199999999999973","14.045999999999998","1.846000000000025"
"23","0","SUCCESS","5","32768","1000.0","0","0.0","101","0.0625","0.06213","2","12.199999999999973","14.375999999999996","2.1760000000000232"
