"num_cloudlets","solve_time"
"31","2.011771189"
"17","2.00151714"
"40","2.002101671"
"31","2.000677051"
"24","2.000775033"
"24","2.000313783"
"27","2.000530427"
"24","2.000481201"
"17","2.000363168"
"30","2.002472496"
"25","2.000635118"
"25","2.000327587"
"16","2.000394575"
"26","2.000476934"
"29","2.001227985"
"21","2.000352532"
"15","2.000291421"
"23","2.000391003"
"27","2.00043794"
"14","2.000257118"
"25","2.000436447"
"24","2.00060045"
"22","2.0003835"
"25","2.000447389"
"24","2.000355631"
"23","2.002258102"
"16","2.00027101"
"23","2.000344252"
"22","2.000412796"
"18","2.00025207"
"35","2.000310526"
"24","2.00790397"
"25","2.00017306"
"32","2.000274707"
"28","2.000270473"
"22","2.000289611"
"30","2.000309422"
"26","2.000249942"
"23","2.000268175"
"21","2.000276914"
"23","2.00020799"
"39","2.00031855"
"15","2.000265618"
"29","2.000367949"
"27","2.000239996"
"29","2.000378572"
"18","2.000292447"
"21","2.00015245"
"23","2.000248783"
"18","2.000182528"
"16","2.000229158"
"22","2.000205749"
"24","2.000297979"
"30","2.000171803"
"16","2.00025433"
"24","2.000147637"
"17","2.000163442"
"29","2.000151973"
"23","2.000147157"
"20","2.000186837"
"24","2.000296419"
"19","2.000221785"
"22","2.000405203"
"25","2.000196203"
"30","2.000220538"
"29","2.000296406"
"31","2.000307974"
"20","2.00024393"
"23","2.000489609"
"25","2.000164815"
"24","2.000240137"
"24","2.000186944"
"24","2.000255607"
"25","2.000152068"
"25","2.000165427"
"16","2.00014526"
"30","2.000173269"
"27","2.000197733"
"17","2.000137899"
"26","2.000351722"
"17","2.000187132"
"18","2.000173953"
"25","2.0002621"
"23","2.000286907"
"25","2.000254853"
"22","2.000409141"
"22","2.000373767"
"19","2.000243503"
"24","2.00029689"
"19","2.000159759"
"29","2.000196476"
"19","2.000174572"
"29","2.000255224"
"28","2.000191898"
"26","2.000186743"
"30","2.000204495"
"24","2.000177165"
"26","2.000181206"
"26","2.000207394"
"22","2.00017421"
"22","2.000336439"
"25","2.000334655"
"19","2.000255395"
"29","2.000384012"
"22","2.000290767"
"27","2.000323417"
"32","2.000360448"
"25","2.000302688"
"27","2.000246448"
