"num_cloudlets","solve_time"
"31","0.011381042"
"24","0.001525992"
"23","0.001865986"
"75","0.001352094"
"41","7.23344E-4"
"149","0.002919491"
"26","9.07448E-4"
"25","0.002102006"
"22","3.45211E-4"
"12","3.08693E-4"
"30","5.27391E-4"
"21","3.61818E-4"
"20","3.55609E-4"
"26","4.00986E-4"
"21","3.16155E-4"
"23","0.007329648"
"24","3.31556E-4"
"24","3.72601E-4"
"18","2.25954E-4"
"24","2.70053E-4"
"20","2.90645E-4"
"22","3.55222E-4"
"24","2.84918E-4"
"34","2.14983E-4"
"21","1.52822E-4"
"23","2.09921E-4"
"33","6.4614E-4"
"28","2.37108E-4"
"28","3.04246E-4"
"28","2.58679E-4"
"24","1.88637E-4"
"23","2.18222E-4"
"20","1.56262E-4"
"30","4.49818E-4"
"25","3.88514E-4"
"26","5.06449E-4"
"27","3.81168E-4"
"28","4.44122E-4"
"21","2.63752E-4"
"20","1.66592E-4"
"24","2.23239E-4"
"15","1.80943E-4"
"23","2.24989E-4"
"19","1.6638E-4"
"20","2.43146E-4"
"29","2.0544E-4"
"22","1.7771E-4"
"20","2.13697E-4"
"19","2.17841E-4"
"23","2.28502E-4"
"21","2.20133E-4"
"27","2.09163E-4"
"25","2.66802E-4"
"18","1.93392E-4"
"23","2.32957E-4"
"21","2.71423E-4"
"27","3.29203E-4"
"27","2.60551E-4"
"27","2.67587E-4"
"33","2.61968E-4"
"21","3.42004E-4"
"29","2.19942E-4"
"21","2.47788E-4"
"22","2.70203E-4"
"24","2.61169E-4"
"22","2.00057E-4"
"28","3.10461E-4"
"25","2.69528E-4"
"17","2.96555E-4"
"28","3.17382E-4"
"26","4.51707E-4"
"19","2.79313E-4"
"23","3.34528E-4"
"16","2.67823E-4"
"23","5.3665E-4"
"25","3.63301E-4"
"20","3.19805E-4"
"25","3.44014E-4"
"21","4.28393E-4"
"20","3.37568E-4"
"26","3.56082E-4"
"18","3.84295E-4"
"20","3.86657E-4"
"31","3.73963E-4"
"19","3.4009E-4"
"29","3.71818E-4"
"25","3.34119E-4"
"36","3.86813E-4"
"23","3.3787E-4"
"20","4.77204E-4"
"25","4.01065E-4"
"29","4.46075E-4"
"23","3.45363E-4"
"25","3.04436E-4"
"21","4.44102E-4"
"25","5.05618E-4"
"24","4.60968E-4"
"28","4.30593E-4"
"29","4.57914E-4"
"26","4.65038E-4"
"23","4.62071E-4"
