id,coming_time,priority,cpu_cores,cpu,ram,bandwidth,storage,length,kind
0,0,0,2,0.04065,0.02069,0,3.815e-05,152,0
1,1,0,2,0.04065,0.02069,0,3.815e-05,246,0
2,2,0,2,0.04065,0.02069,0,3.815e-05,104,0
3,2,0,2,0.04065,0.02069,0,3.815e-05,125,0
4,3,0,2,0.04065,0.02069,0,3.815e-05,105,0
5,3,0,2,0.2505,0.001554,0,3.815e-06,100000,1
6,4,0,2,0.2505,0.001554,0,3.815e-06,100000,1
7,4,0,2,0.2505,0.001554,0,3.815e-06,252,0
8,5,0,2,0.2505,0.001554,0,3.815e-06,87,0
9,7,0,2,0.0625,0.1184,0,0.001158,28,0
10,7,0,2,0.0625,0.1184,0,0.001158,28,0
11,9,0,2,0.0625,0.1184,0,0.001158,53,0
12,10,0,2,0.05109,0.03906,0,0.00193,156,0
13,10,0,2,0.05109,0.03906,0,0.00193,100000,1
14,10,0,2,0.05109,0.03906,0,0.00193,100000,1
15,11,0,2,0.05109,0.03906,0,0.00193,62,0
16,12,0,2,0.0625,0.06213,0,0.000452,138,0
17,12,0,2,0.0625,0.06213,0,0.000452,103,0
18,13,0,2,0.0625,0.06213,0,0.000452,97,0
19,14,0,2,0.0625,0.06213,0,0.000452,31,0
20,14,0,2,0.0625,0.06213,0,0.000452,123,0
21,14,0,2,0.0625,0.06213,0,0.000452,108,0
22,14,0,2,0.0625,0.06213,0,0.000452,21,0
23,15,0,2,0.0625,0.06213,0,0.000452,180,0
24,15,0,2,0.0625,0.06213,0,0.000452,96,0
25,16,0,2,0.0625,0.06213,0,0.000452,162,0
26,16,0,2,0.0625,0.06213,0,0.000452,184,0
27,16,0,2,0.0625,0.06213,0,0.000452,206,0
28,16,0,2,0.0625,0.06213,0,0.000452,189,0
29,17,0,2,0.0625,0.06213,0,0.000452,165,0
30,18,0,2,0.0625,0.06213,0,0.000452,216,0
31,19,0,2,0.0625,0.06213,0,0.000452,172,0
32,20,0,2,0.0625,0.06213,0,0.000452,55,0
33,20,0,2,0.0625,0.06213,0,0.000452,152,0
34,22,0,2,0.0625,0.06213,0,0.000452,89,0
35,23,0,2,0.0625,0.06213,0,0.000452,178,0
36,24,0,2,0.0625,0.06213,0,0.000452,48,0
37,24,0,2,0.0625,0.06213,0,0.000452,73,0
38,25,0,2,0.0625,0.06213,0,0.000452,108,0
39,27,0,2,0.0625,0.06213,0,0.000452,135,0
40,27,0,2,0.0625,0.06213,0,0.000452,116,0
41,28,0,2,0.0625,0.06213,0,0.000452,66,0
42,31,0,2,0.0625,0.06213,0,0.000452,124,0
43,32,0,2,0.0625,0.06213,0,0.000452,144,0
44,32,0,2,0.0625,0.06213,0,0.000452,192,0
45,33,0,2,0.0625,0.06213,0,0.000452,132,0
46,33,0,2,0.0625,0.06213,0,0.000452,104,0
47,34,0,2,0.0625,0.06213,0,0.000452,37,0
48,37,0,2,0.0625,0.06213,0,0.000452,77,0
49,39,0,2,0.0625,0.06213,0,0.000452,170,0
50,41,0,2,0.0625,0.06213,0,0.000452,157,0
51,41,0,2,0.0625,0.06213,0,0.000452,122,0
52,43,0,2,0.0625,0.06213,0,0.000452,112,0
53,45,0,2,0.0625,0.06213,0,0.000452,66,0
54,45,0,2,0.0625,0.06213,0,0.000452,94,0
55,46,0,2,0.0625,0.06213,0,0.000452,228,0
56,46,0,2,0.0625,0.06213,0,0.000452,26,0
57,47,0,2,0.0625,0.06213,0,0.000452,82,0
58,48,0,2,0.0625,0.06213,0,0.000452,151,0
59,48,0,2,0.0625,0.06213,0,0.000452,149,0
60,51,0,2,0.0625,0.06213,0,0.000452,184,0
61,51,0,2,0.0625,0.06213,0,0.000452,175,0
62,52,0,2,0.0625,0.06213,0,0.000452,136,0
63,52,0,2,0.0625,0.06213,0,0.000452,89,0
64,53,0,2,0.0625,0.06213,0,0.000452,152,0
65,53,0,2,0.0625,0.06213,0,0.000452,91,0
66,54,0,2,0.0625,0.06213,0,0.000452,173,0
67,54,0,2,0.0625,0.06213,0,0.000452,132,0
68,55,0,2,0.0625,0.06213,0,0.000452,44,0
69,55,0,2,0.0625,0.06213,0,0.000452,63,0
70,56,0,2,0.0625,0.06213,0,0.000452,104,0
71,56,0,2,0.0625,0.06213,0,0.000452,110,0
72,57,0,2,0.0625,0.06213,0,0.000452,122,0
73,58,0,2,0.0625,0.06213,0,0.000452,206,0
74,59,0,2,0.0625,0.06213,0,0.000452,127,0
75,60,0,2,0.0625,0.06213,0,0.000452,202,0
76,61,0,2,0.0625,0.06213,0,0.000452,52,0
77,62,0,2,0.0625,0.06213,0,0.000452,149,0
78,62,0,2,0.0625,0.06213,0,0.000452,29,0
79,63,0,2,0.0625,0.06213,0,0.000452,16,0
80,65,0,2,0.0625,0.06213,0,0.000452,172,0
81,65,0,2,0.0625,0.06213,0,0.000452,203,0
82,65,0,2,0.0625,0.06213,0,0.000452,75,0
83,65,0,2,0.0625,0.06213,0,0.000452,114,0
84,66,0,2,0.0625,0.06213,0,0.000452,123,0
85,66,0,2,0.0625,0.06213,0,0.000452,93,0
86,68,0,2,0.0625,0.06213,0,0.000452,123,0
87,68,0,2,0.0625,0.06213,0,0.000452,125,0
88,68,0,2,0.0625,0.06213,0,0.000452,92,0
89,71,0,2,0.0625,0.06213,0,0.000452,178,0
90,72,0,2,0.0625,0.06213,0,0.000452,145,0
91,72,0,2,0.0625,0.06213,0,0.000452,54,0
92,72,0,2,0.0625,0.06213,0,0.000452,186,0
93,72,0,2,0.0625,0.06213,0,0.000452,102,0
94,74,0,2,0.0625,0.06213,0,0.000452,176,0
95,74,0,2,0.0625,0.06213,0,0.000452,50,0
96,75,0,2,0.0625,0.06213,0,0.000452,12,0
97,75,0,2,0.09998,0.02069,0,3.815e-05,137,0
98,75,0,2,0.02499,0.07959,0,0.0003862,76,0
99,75,0,2,0.02499,0.07959,0,0.0003862,20,0
100,76,0,2,0.02499,0.07959,0,0.0003862,117,0
101,78,0,2,0.02499,0.07959,0,0.0003862,54,0
102,78,0,2,0.02499,0.07959,0,0.0003862,148,0
103,78,0,2,0.02499,0.07959,0,0.0003862,47,0
104,79,0,2,0.02499,0.07959,0,0.0003862,54,0
105,79,0,2,0.02499,0.07959,0,0.0003862,18,0
106,80,0,2,0.02499,0.07959,0,0.0003862,116,0
107,80,0,2,0.02499,0.07959,0,0.0003862,28,0
108,81,0,2,0.02499,0.07959,0,0.0003862,185,0
109,82,0,2,0.02499,0.07959,0,0.0003862,66,0
110,82,0,2,0.02499,0.07959,0,0.0003862,30,0
111,82,0,2,0.02499,0.07959,0,0.0003862,119,0
112,83,0,2,0.02499,0.07959,0,0.0003862,11,0
113,83,0,2,0.02499,0.07959,0,0.0003862,177,0
114,84,0,2,0.02499,0.07959,0,0.0003862,101,0
115,84,0,2,0.02499,0.07959,0,0.0003862,47,0
116,86,0,2,0.02499,0.07959,0,0.0003862,90,0
117,86,0,2,0.02499,0.03339,0,0.0003862,69,0
118,87,0,2,0.02499,0.03339,0,0.0003862,100000,1
119,87,0,2,0.02499,0.03339,0,0.0003862,172,0
120,89,0,2,0.02499,0.03339,0,0.0003862,291,0
121,90,0,2,0.02499,0.03339,0,0.0003862,174,0
122,90,0,2,0.02499,0.03339,0,0.0003862,131,0
123,91,0,2,0.02499,0.03339,0,0.0003862,169,0
124,92,0,2,0.09998,0.02069,0,3.815e-05,100000,1
125,92,0,2,0.09998,0.02069,0,3.815e-05,100000,1
126,92,0,2,0.09998,0.02069,0,3.815e-05,141,0
127,92,0,2,0.09998,0.02069,0,3.815e-05,100000,1
128,93,0,2,0.09998,0.02069,0,3.815e-05,100000,1
129,94,0,2,0.09998,0.02069,0,3.815e-05,100000,1
130,96,0,2,0.09998,0.02069,0,3.815e-05,100000,1
131,97,0,2,0.125,0.07959,0,5.436e-05,219,0
132,99,0,2,0.125,0.07959,0,5.436e-05,230,0
133,99,0,2,0.125,0.07959,0,5.436e-05,221,0
134,101,0,2,0.125,0.07959,0,5.436e-05,215,0
135,101,0,2,0.03125,0.009323,0,0.0001545,40,0
136,101,0,2,0.03125,0.009323,0,0.0001545,44,0
137,102,0,2,0.03125,0.009323,0,0.0001545,42,0
138,103,0,2,0.03125,0.009323,0,0.0001545,37,0
139,104,0,2,0.03125,0.009323,0,0.0001545,35,0
140,104,0,2,0.03125,0.009323,0,0.0001545,41,0
141,105,0,2,0.03125,0.009323,0,0.0001545,41,0
142,107,0,2,0.03125,0.009323,0,0.0001545,30,0
143,108,0,2,0.03125,0.009323,0,0.0001545,32,0
144,110,0,2,0.03125,0.009323,0,0.0001545,36,0
145,110,0,2,0.03125,0.009323,0,0.0001545,38,0
146,111,0,2,0.03125,0.009323,0,0.0001545,48,0
147,111,0,2,0.03125,0.009323,0,0.0001545,35,0
148,112,0,2,0.03125,0.009323,0,0.0001545,41,0
149,113,0,2,0.03125,0.009323,0,0.0001545,35,0
150,114,0,2,0.03125,0.009323,0,0.0001545,39,0
151,114,0,2,0.03125,0.009323,0,0.0001545,54,0
152,114,0,2,0.03125,0.009323,0,0.0001545,40,0
153,115,0,2,0.03125,0.009323,0,0.0001545,35,0
154,116,0,2,0.03125,0.009323,0,0.0001545,35,0
155,116,0,2,0.03125,0.009323,0,0.0001545,37,0
156,117,0,2,0.03125,0.009323,0,0.0001545,41,0
157,118,0,2,0.03125,0.009323,0,0.0001545,35,0
158,119,0,2,0.03125,0.009323,0,0.0001545,42,0
159,119,0,2,0.03125,0.009323,0,0.0001545,37,0
160,120,0,2,0.03125,0.009323,0,0.0001545,56,0
161,120,0,2,0.03125,0.009323,0,0.0001545,42,0
162,121,0,2,0.03125,0.009323,0,0.0001545,55,0
163,121,0,2,0.03125,0.009323,0,0.0001545,52,0
164,122,0,2,0.03125,0.009323,0,0.0001545,37,0
165,123,0,2,0.03125,0.009323,0,0.0001545,39,0
166,125,0,2,0.03125,0.009323,0,0.0001545,53,0
167,125,0,2,0.03125,0.009323,0,0.0001545,38,0
168,126,0,2,0.03125,0.009323,0,0.0001545,41,0
169,130,0,2,0.03125,0.009323,0,0.0001545,35,0
170,130,0,2,0.03125,0.009323,0,0.0001545,55,0
171,131,0,2,0.03125,0.009323,0,0.0001545,39,0
172,131,0,2,0.03125,0.009323,0,0.0001545,39,0
173,132,0,2,0.03125,0.009323,0,0.0001545,38,0
174,132,0,2,0.03125,0.009323,0,0.0001545,43,0
175,132,0,2,0.03125,0.009323,0,0.0001545,46,0
176,135,0,2,0.03125,0.009323,0,0.0001545,37,0
177,135,0,2,0.03125,0.009323,0,0.0001545,37,0
178,136,0,2,0.03125,0.009323,0,0.0001545,38,0
179,137,0,2,0.03125,0.009323,0,0.0001545,33,0
180,138,0,2,0.03125,0.009323,0,0.0001545,39,0
181,140,0,2,0.03125,0.009323,0,0.0001545,39,0
182,140,0,2,0.03125,0.009323,0,0.0001545,38,0
183,142,0,2,0.03125,0.009323,0,0.0001545,41,0
184,143,0,2,0.03125,0.009323,0,0.0001545,44,0
185,144,0,2,0.03125,0.009323,0,0.0001545,62,0
