"CloudletID","Priority","Status","vmID","vmSize","vmMIPS","cloudletSize","waitingTimeSeconds","cloudletLength","cpuRequest","memoryRequest","cloudletCPUCores","StartTime","finishTime","exeTime"
"0","0","SUCCESS","0","32768","2000.0","0","0.0","152","0.04065","0.02069","2","22.100000000000044","24.569999999999993","2.469999999999949"
"1","0","SUCCESS","9","32768","2000.0","0","0.0","246","0.04065","0.02069","2","22.100000000000044","27.309999999999995","5.209999999999951"
"2","0","SUCCESS","3","32768","2000.0","0","0.0","104","0.04065","0.02069","2","22.100000000000044","24.789999999999992","2.689999999999948"
"3","0","SUCCESS","1","32768","1000.0","0","0.0","125","0.04065","0.02069","2","22.100000000000044","27.529999999999994","5.42999999999995"
"4","0","SUCCESS","2","32768","1000.0","0","0.0","105","0.04065","0.02069","2","22.100000000000044","28.40999999999999","6.309999999999945"
"5","0","SUCCESS","8","32768","1000.0","0","0.0","100000","0.2505","0.001554","2","22.100000000000044","430.012072028849","407.91207202884897"
"6","0","SUCCESS","4","32768","2000.0","0","0.0","100000","0.2505","0.001554","2","22.100000000000044","223.21507202882333","201.11507202882328"
"7","0","SUCCESS","5","32768","1000.0","0","0.0","252","0.2505","0.001554","2","22.100000000000044","23.20100000000004","1.1009999999999955"
"8","0","SUCCESS","6","32768","4000.0","0","0.0","87","0.2505","0.001554","2","22.100000000000044","22.223000000000045","0.12300000000000111"
"9","0","SUCCESS","7","32768","1000.0","0","0.0","28","0.0625","0.1184","2","22.100000000000044","23.20100000000004","1.1009999999999955"
"10","0","SUCCESS","0","32768","2000.0","0","0.0","28","0.0625","0.1184","2","22.100000000000044","22.651000000000042","0.5509999999999984"
"11","0","SUCCESS","1","32768","1000.0","0","0.0","53","0.0625","0.1184","2","22.100000000000044","24.129999999999995","2.0299999999999514"
"12","0","SUCCESS","9","32768","2000.0","0","0.0","156","0.05109","0.03906","2","22.100000000000044","25.559999999999988","3.459999999999944"
"14","0","SUCCESS","3","32768","2000.0","0","0.0","100000","0.05109","0.03906","2","22.100000000000044","1155.2195720288037","1133.1195720288035"
"15","0","SUCCESS","7","32768","1000.0","0","0.0","62","0.05109","0.03906","2","22.100000000000044","24.679999999999993","2.5799999999999486"
"16","0","SUCCESS","2","32768","1000.0","0","0.0","138","0.0625","0.06213","2","22.100000000000044","27.529999999999994","5.42999999999995"
"17","0","SUCCESS","9","32768","2000.0","0","0.0","103","0.0625","0.06213","2","22.100000000000044","24.349999999999994","2.2499999999999503"
"18","0","SUCCESS","3","32768","2000.0","0","0.0","97","0.0625","0.06213","2","22.100000000000044","23.909999999999997","1.8099999999999525"
"19","0","SUCCESS","0","32768","2000.0","0","0.0","31","0.0625","0.06213","2","22.100000000000044","22.761000000000042","0.6609999999999978"
"20","0","SUCCESS","1","32768","1000.0","0","0.0","123","0.0625","0.06213","2","22.100000000000044","25.999999999999986","3.8999999999999417"
"21","0","SUCCESS","7","32768","1000.0","0","0.0","108","0.0625","0.06213","2","22.100000000000044","25.11999999999999","3.0199999999999463"
"22","0","SUCCESS","2","32768","1000.0","0","0.0","21","0.0625","0.06213","2","22.100000000000044","23.20100000000004","1.1009999999999955"
"23","0","SUCCESS","3","32768","2000.0","0","0.0","180","0.0625","0.06213","2","22.100000000000044","24.89999999999999","2.7999999999999474"
"24","0","SUCCESS","9","32768","2000.0","0","0.0","96","0.0625","0.06213","2","22.100000000000044","24.239999999999995","2.139999999999951"
"25","0","SUCCESS","0","32768","2000.0","0","0.0","162","0.0625","0.06213","2","22.100000000000044","23.799999999999997","1.699999999999953"
"26","0","SUCCESS","1","32768","1000.0","0","0.0","184","0.0625","0.06213","2","22.100000000000044","27.089999999999996","4.989999999999952"
"27","0","SUCCESS","7","32768","1000.0","0","0.0","206","0.0625","0.06213","2","22.100000000000044","26.979999999999997","4.879999999999953"
"28","0","SUCCESS","9","32768","2000.0","0","0.0","189","0.0625","0.06213","2","22.100000000000044","25.44999999999999","3.3499999999999446"
"29","0","SUCCESS","2","32768","1000.0","0","0.0","165","0.0625","0.06213","2","22.100000000000044","28.29999999999999","6.199999999999946"
"94","0","SUCCESS","0","32768","2000.0","0","0.0","176","0.0625","0.06213","2","122.10000000000005","127.84907202881155","5.749072028811497"
"95","0","SUCCESS","1","32768","1000.0","0","0.0","50","0.0625","0.06213","2","122.10000000000005","127.51907202881155","5.419072028811499"
"96","0","SUCCESS","9","32768","2000.0","0","0.0","12","0.0625","0.06213","2","122.10000000000005","122.60900000000005","0.5090000000000003"
"97","0","SUCCESS","5","32768","1000.0","0","0.0","137","0.09998","0.02069","2","122.10000000000005","125.86907202881156","3.7690720288115074"
"98","0","SUCCESS","6","32768","4000.0","0","0.0","76","0.02499","0.07959","2","122.10000000000005","125.42907202881156","3.3290720288115097"
"100","0","SUCCESS","6","32768","4000.0","0","0.0","117","0.02499","0.07959","2","122.10000000000005","126.19907202881156","4.099072028811506"
"102","0","SUCCESS","6","32768","4000.0","0","0.0","148","0.02499","0.07959","2","122.10000000000005","126.52907202881156","4.429072028811504"
"105","0","SUCCESS","3","32768","2000.0","0","0.0","18","0.02499","0.07959","2","122.10000000000005","124.21907202881157","2.119072028811516"
"106","0","SUCCESS","0","32768","2000.0","0","0.0","116","0.02499","0.07959","2","122.10000000000005","130.59907202881186","8.49907202881181"
"107","0","SUCCESS","1","32768","1000.0","0","0.0","28","0.02499","0.07959","2","122.10000000000005","136.31907202881257","14.21907202881252"
"108","0","SUCCESS","9","32768","2000.0","0","0.0","185","0.02499","0.07959","2","122.10000000000005","134.00907202881228","11.909072028812233"
"109","0","SUCCESS","6","32768","4000.0","0","0.0","66","0.02499","0.07959","2","122.10000000000005","125.20907202881156","3.109072028811511"
"112","0","SUCCESS","3","32768","2000.0","0","0.0","11","0.02499","0.07959","2","122.10000000000005","123.44907202881157","1.3490720288115199"
"113","0","SUCCESS","9","32768","2000.0","0","0.0","177","0.02499","0.07959","2","122.10000000000005","133.78907202881226","11.689072028812205"
"114","0","SUCCESS","0","32768","2000.0","0","0.0","101","0.02499","0.07959","2","122.10000000000005","130.0490720288118","7.949072028811742"
"115","0","SUCCESS","1","32768","1000.0","0","0.0","47","0.02499","0.07959","2","122.10000000000005","137.4190720288127","15.319072028812656"
"116","0","SUCCESS","6","32768","4000.0","0","0.0","90","0.02499","0.07959","2","122.10000000000005","125.75907202881156","3.659072028811508"
"120","0","SUCCESS","3","32768","2000.0","0","0.0","291","0.02499","0.03339","2","122.10000000000005","135.43907202881246","13.33907202881241"
"121","0","SUCCESS","0","32768","2000.0","0","0.0","174","0.02499","0.03339","2","122.10000000000005","131.91907202881202","9.819072028811973"
"122","0","SUCCESS","1","32768","1000.0","0","0.0","131","0.02499","0.03339","2","122.10000000000005","142.03907202881328","19.93907202881323"
"123","0","SUCCESS","9","32768","2000.0","0","0.0","169","0.02499","0.03339","2","122.10000000000005","133.45907202881222","11.359072028812164"
"124","0","SUCCESS","6","32768","4000.0","0","0.0","100000","0.09998","0.02069","2","122.10000000000005","399.10507202884514","277.0050720288451"
"126","0","SUCCESS","5","32768","1000.0","0","0.0","141","0.09998","0.02069","2","122.10000000000005","125.97907202881156","3.879072028811507"
"128","0","SUCCESS","3","32768","2000.0","0","0.0","100000","0.09998","0.02069","2","122.10000000000005","707.7620720288834","585.6620720288834"
"129","0","SUCCESS","0","32768","2000.0","0","0.0","100000","0.09998","0.02069","2","122.10000000000005","730.0920720288862","607.9920720288861"
"130","0","SUCCESS","9","32768","2000.0","0","0.0","100000","0.09998","0.02069","2","122.10000000000005","738.4520720288872","616.3520720288872"
"131","0","SUCCESS","1","32768","1000.0","0","0.0","219","0.125","0.07959","2","122.10000000000005","130.1590720288118","8.059072028811755"
"132","0","SUCCESS","6","32768","4000.0","0","0.0","230","0.125","0.07959","2","122.10000000000005","124.10907202881157","2.0090720288115165"
"133","0","SUCCESS","7","32768","1000.0","0","0.0","221","0.125","0.07959","2","122.10000000000005","130.26907202881182","8.169072028811769"
"134","0","SUCCESS","5","32768","1000.0","0","0.0","215","0.125","0.07959","2","122.10000000000005","126.41907202881156","4.3190720288115045"
"136","0","SUCCESS","3","32768","2000.0","0","0.0","44","0.03125","0.009323","2","122.10000000000005","126.08907202881156","3.9890720288115062"
"137","0","SUCCESS","0","32768","2000.0","0","0.0","42","0.03125","0.009323","2","122.10000000000005","126.63907202881155","4.539072028811503"
"138","0","SUCCESS","9","32768","2000.0","0","0.0","37","0.03125","0.009323","2","122.10000000000005","126.08907202881156","3.9890720288115062"
"139","0","SUCCESS","4","32768","2000.0","0","0.0","35","0.03125","0.009323","2","122.10000000000005","123.99907202881157","1.899072028811517"
