"CloudletID","Priority","Status","vmID","vmSize","cloudletSize","waitingTimeSeconds","cloudletLength","cloudletCPUCores","StartTime","finishTime","exeTime"
"0","SUCCESS","0","9","32768","0","0.0","1365","2","10.19999999999998","14.19764164470944","3.9976416447094607"
"1","SUCCESS","0","2","32768","0","0.0","1228","2","10.19999999999998","18.097663807339725","7.897663807339745"
"2","SUCCESS","0","6","32768","0","0.0","588","2","10.19999999999998","12.306210294097584","2.106210294097604"
"3","SUCCESS","0","8","32768","0","0.0","1292","2","10.19999999999998","18.207663807339724","8.007663807339744"
"4","SUCCESS","0","8","32768","0","0.0","976","2","10.19999999999998","18.207663807339724","8.007663807339744"
"6","SUCCESS","0","5","32768","0","0.0","585","2","10.19999999999998","18.537663807339722","8.337663807339743"
"8","SUCCESS","0","0","32768","0","0.0","1345","2","10.19999999999998","14.19764164470944","3.9976416447094607"
"10","SUCCESS","0","7","32768","0","0.0","1436","2","10.19999999999998","18.097663807339725","7.897663807339745"
"11","SUCCESS","0","3","32768","0","0.0","1311","2","10.19999999999998","14.19764164470944","3.9976416447094607"
"12","SUCCESS","0","2","32768","0","0.0","1121","2","10.19999999999998","18.207663807339724","8.007663807339744"
"13","SUCCESS","0","4","32768","0","0.0","1371","2","10.19999999999998","14.19764164470944","3.9976416447094607"
"15","SUCCESS","0","5","32768","0","0.0","1691","2","10.19999999999998","18.207663807339724","8.007663807339744"
"16","SUCCESS","0","0","32768","0","0.0","322","2","10.19999999999998","14.637641644709438","4.437641644709458"
"17","SUCCESS","0","7","32768","0","0.0","514","2","10.19999999999998","18.537663807339722","8.337663807339743"
"18","SUCCESS","0","3","32768","0","0.0","970","2","10.19999999999998","14.30764164470944","4.10764164470946"
"19","SUCCESS","0","9","32768","0","0.0","844","2","10.19999999999998","14.30764164470944","4.10764164470946"
"21","SUCCESS","0","7","32768","0","0.0","578","2","10.19999999999998","18.427663807339723","8.227663807339743"
"22","SUCCESS","0","0","32768","0","0.0","900","2","10.19999999999998","14.19764164470944","3.9976416447094607"
"23","SUCCESS","0","4","32768","0","0.0","744","2","10.19999999999998","14.30764164470944","4.10764164470946"
"24","SUCCESS","0","5","32768","0","0.0","313","2","10.19999999999998","20.05966380733972","9.859663807339741"
"25","SUCCESS","0","6","32768","0","0.0","582","2","10.19999999999998","12.306210294097584","2.106210294097604"
"26","SUCCESS","0","1","32768","0","0.0","884","2","10.19999999999998","18.207663807339724","8.007663807339744"
"27","SUCCESS","0","6","32768","0","0.0","1424","2","10.19999999999998","12.196210294097584","1.9962102940976045"
"28","SUCCESS","0","1","32768","0","0.0","1347","2","10.19999999999998","18.207663807339724","8.007663807339744"
"30","SUCCESS","0","1","32768","0","0.0","759","2","18.75766380733972","30.961618030896872","12.203954223557151"
"33","SUCCESS","0","3","32768","0","0.0","1252","2","18.75766380733972","24.10094491915651","5.34328111181679"
"35","SUCCESS","0","7","32768","0","0.0","447","2","18.75766380733972","27.42605613997317","8.668392332633449"
"36","SUCCESS","0","0","32768","0","0.0","368","2","18.75766380733972","23.0412504363927","4.28358662905298"
"37","SUCCESS","0","6","32768","0","0.0","1280","2","18.75766380733972","21.488627846772875","2.730964039433154"
"39","SUCCESS","0","0","32768","0","0.0","608","2","18.75766380733972","22.931250436392702","4.173586629052981"
"41","SUCCESS","0","2","32768","0","0.0","1179","2","18.75766380733972","30.301618030896876","11.543954223557154"
"42","SUCCESS","0","9","32768","0","0.0","977","2","18.75766380733972","24.21094491915651","5.453281111816789"
"43","SUCCESS","0","4","32768","0","0.0","870","2","18.75766380733972","22.821250436392702","4.063586629052981"
"44","SUCCESS","0","8","32768","0","0.0","1146","2","18.75766380733972","30.521618030896875","11.763954223557153"
"45","SUCCESS","0","9","32768","0","0.0","889","2","18.75766380733972","24.21094491915651","5.453281111816789"
"46","SUCCESS","0","5","32768","0","0.0","1136","2","18.75766380733972","27.20605613997317","8.44839233263345"
"47","SUCCESS","0","3","32768","0","0.0","386","2","18.75766380733972","24.43094491915651","5.673281111816788"
"48","SUCCESS","0","8","32768","0","0.0","733","2","18.75766380733972","30.851618030896873","12.093954223557152"
"49","SUCCESS","0","5","32768","0","0.0","737","2","18.75766380733972","27.42605613997317","8.668392332633449"
"50","SUCCESS","0","6","32768","0","0.0","980","2","18.75766380733972","21.488627846772875","2.730964039433154"
"52","SUCCESS","0","0","32768","0","0.0","1160","2","18.75766380733972","22.711250436392703","3.9535866290529817"
"55","SUCCESS","0","7","32768","0","0.0","1192","2","18.75766380733972","26.766056139973173","8.008392332633452"
"56","SUCCESS","0","2","32768","0","0.0","690","2","18.75766380733972","30.851618030896873","12.093954223557152"
"57","SUCCESS","0","4","32768","0","0.0","1085","2","18.75766380733972","22.711250436392703","3.9535866290529817"
"59","SUCCESS","0","1","32768","0","0.0","1108","2","18.75766380733972","30.191618030896876","11.433954223557155"
"60","SUCCESS","0","7","32768","0","0.0","658","2","28.74861803089688","45.97469614818503","17.226078117288154"
"62","SUCCESS","0","0","32768","0","0.0","1806","2","28.74861803089688","32.754223459663955","4.005605428767076"
"63","SUCCESS","0","8","32768","0","0.0","1063","2","28.74861803089688","46.41469614818503","17.66607811728815"
"64","SUCCESS","0","7","32768","0","0.0","984","2","28.74861803089688","44.21469614818504","15.466078117288163"
"65","SUCCESS","0","5","32768","0","0.0","1030","2","28.74861803089688","40.47469614818506","11.726078117288182"
"66","SUCCESS","0","9","32768","0","0.0","305","2","28.74861803089688","36.29469614818508","7.546078117288204"
"67","SUCCESS","0","3","32768","0","0.0","1086","2","28.74861803089688","35.41469614818509","6.666078117288208"
"70","SUCCESS","0","6","32768","0","0.0","556","2","28.74861803089688","32.15888220151537","3.4102641706184897"
"71","SUCCESS","0","2","32768","0","0.0","678","2","28.74861803089688","51.13519614818501","22.38657811728813"
"72","SUCCESS","0","6","32768","0","0.0","384","2","28.74861803089688","32.37888220151537","3.6302641706184886"
"73","SUCCESS","0","8","32768","0","0.0","326","2","28.74861803089688","52.345196148185","23.596578117288125"
"76","SUCCESS","0","4","32768","0","0.0","249","2","28.74861803089688","34.86469614818509","6.116078117288211"
"77","SUCCESS","0","5","32768","0","0.0","577","2","28.74861803089688","42.45469614818505","13.706078117288172"
"79","SUCCESS","0","0","32768","0","0.0","533","2","28.74861803089688","32.97422345966395","4.225605428767075"
"80","SUCCESS","0","4","32768","0","0.0","1730","2","28.74861803089688","34.082437013967734","5.333818983070856"
"82","SUCCESS","0","9","32768","0","0.0","1039","2","28.74861803089688","35.524696148185086","6.776078117288208"
"83","SUCCESS","0","8","32768","0","0.0","805","2","28.74861803089688","46.41469614818503","17.66607811728815"
"84","SUCCESS","0","1","32768","0","0.0","941","2","28.74861803089688","47.074696148185026","18.326078117288148"
