"CloudletID","Priority","Status","vmID","vmSize","cloudletSize","waitingTimeSeconds","cloudletLength","cloudletCPUCores","StartTime","finishTime","exeTime"
"0","SUCCESS","0","0","32768","0","0.0","1365","2","10.19999999999998","14.196367866744177","3.9963678667441975"
"1","SUCCESS","0","1","32768","0","0.0","1228","2","10.19999999999998","18.19979795361464","7.999797953614662"
"2","SUCCESS","0","2","32768","0","0.0","588","2","10.19999999999998","18.96479795361464","8.764797953614659"
"3","SUCCESS","0","3","32768","0","0.0","1292","2","10.19999999999998","14.196367866744177","3.9963678667441975"
"4","SUCCESS","0","4","32768","0","0.0","976","2","10.19999999999998","14.196367866744177","3.9963678667441975"
"6","SUCCESS","0","6","32768","0","0.0","585","2","10.19999999999998","12.277563120966345","2.0775631209663654"
"8","SUCCESS","0","8","32768","0","0.0","1345","2","10.19999999999998","18.19979795361464","7.999797953614662"
"10","SUCCESS","0","0","32768","0","0.0","1436","2","10.19999999999998","14.196367866744177","3.9963678667441975"
"11","SUCCESS","0","1","32768","0","0.0","1311","2","10.19999999999998","18.089797953614642","7.8897979536146625"
"12","SUCCESS","0","2","32768","0","0.0","1121","2","10.19999999999998","18.30979795361464","8.109797953614661"
"13","SUCCESS","0","3","32768","0","0.0","1371","2","10.19999999999998","14.196367866744177","3.9963678667441975"
"15","SUCCESS","0","5","32768","0","0.0","1691","2","10.19999999999998","18.19979795361464","7.999797953614662"
"16","SUCCESS","0","6","32768","0","0.0","322","2","10.19999999999998","12.497563120966344","2.2975631209663643"
"17","SUCCESS","0","7","32768","0","0.0","514","2","10.19999999999998","18.63979795361464","8.43979795361466"
"18","SUCCESS","0","8","32768","0","0.0","970","2","10.19999999999998","18.30979795361464","8.109797953614661"
"19","SUCCESS","0","9","32768","0","0.0","844","2","10.19999999999998","14.306367866744177","4.106367866744197"
"21","SUCCESS","0","1","32768","0","0.0","578","2","10.19999999999998","18.41979795361464","8.21979795361466"
"22","SUCCESS","0","2","32768","0","0.0","900","2","10.19999999999998","18.30979795361464","8.109797953614661"
"23","SUCCESS","0","3","32768","0","0.0","744","2","10.19999999999998","14.306367866744177","4.106367866744197"
"24","SUCCESS","0","4","32768","0","0.0","313","2","10.19999999999998","14.636367866744175","4.436367866744195"
"25","SUCCESS","0","5","32768","0","0.0","582","2","10.19999999999998","18.52979795361464","8.32979795361466"
"26","SUCCESS","0","6","32768","0","0.0","884","2","10.19999999999998","12.277563120966345","2.0775631209663654"
"27","SUCCESS","0","7","32768","0","0.0","1424","2","10.19999999999998","18.19979795361464","7.999797953614662"
"28","SUCCESS","0","8","32768","0","0.0","1347","2","10.19999999999998","18.19979795361464","7.999797953614662"
"30","SUCCESS","0","0","32768","0","0.0","759","2","18.52979795361464","24.036867489477213","5.507069535862573"
"33","SUCCESS","0","3","32768","0","0.0","1252","2","18.52979795361464","22.565058362305763","4.035260408691123"
"35","SUCCESS","0","5","32768","0","0.0","447","2","18.52979795361464","31.7958308385468","13.266032884932159"
"36","SUCCESS","0","6","32768","0","0.0","368","2","18.52979795361464","20.717475479327653","2.1876775257130134"
"37","SUCCESS","0","7","32768","0","0.0","1280","2","18.52979795361464","30.145830838546807","11.616032884932167"
"39","SUCCESS","0","9","32768","0","0.0","608","2","18.52979795361464","25.55070506717974","7.0209071135651016"
"41","SUCCESS","0","1","32768","0","0.0","1179","2","18.52979795361464","26.56454240981069","8.034744456196051"
"42","SUCCESS","0","2","32768","0","0.0","977","2","18.52979795361464","26.78454240981069","8.25474445619605"
"43","SUCCESS","0","3","32768","0","0.0","870","2","18.52979795361464","22.565058362305763","4.035260408691123"
"44","SUCCESS","0","4","32768","0","0.0","1146","2","18.52979795361464","23.926867489477214","5.397069535862574"
"45","SUCCESS","0","5","32768","0","0.0","889","2","18.52979795361464","30.365830838546806","11.836032884932166"
