"CloudletID","Priority","Status","vmID","vmSize","vmMIPS","cloudletSize","waitingTimeSeconds","cloudletLength","cpuRequest","memoryRequest","cloudletCPUCores","StartTime","finishTime","exeTime"
"0","0","SUCCESS","0","32768","2000.0","0","0.0","1365","0.2620119832070593","17.48425372068434","2","10.19999999999998","15.602634485809684","5.402634485809704"
"1","0","SUCCESS","3","32768","2000.0","0","0.0","1228","0.23613193813505545","13.973251222125178","2","10.19999999999998","15.602634485809684","5.402634485809704"
"2","0","SUCCESS","6","32768","4000.0","0","0.0","588","0.10522211567115661","21.427555039530684","2","10.19999999999998","13.015919551702341","2.815919551702361"
"3","0","SUCCESS","3","32768","2000.0","0","0.0","1292","0.24718246854684453","18.18824758573826","2","10.19999999999998","15.602634485809684","5.402634485809704"
"4","0","SUCCESS","4","32768","2000.0","0","0.0","976","0.18559777936734784","14.433959279281662","2","10.19999999999998","18.875034102292318","8.675034102292338"
"6","0","SUCCESS","4","32768","2000.0","0","0.0","585","0.10700357062395924","15.16713615512782","2","10.19999999999998","19.095034102292317","8.895034102292337"
"8","0","SUCCESS","3","32768","2000.0","0","0.0","1345","0.25723201964410863","19.547706534622787","2","10.19999999999998","15.602634485809684","5.402634485809704"
"10","0","SUCCESS","6","32768","4000.0","0","0.0","1436","0.27640984510238026","17.220568070750115","2","10.19999999999998","12.905919551702342","2.7059195517023618"
"11","0","SUCCESS","3","32768","2000.0","0","0.0","1311","0.25260309953386845","14.419264555668084","2","10.19999999999998","15.602634485809684","5.402634485809704"
"12","0","SUCCESS","0","32768","2000.0","0","0.0","1121","0.21304184304172527","18.38072885857282","2","10.19999999999998","15.602634485809684","5.402634485809704"
"13","0","SUCCESS","0","32768","2000.0","0","0.0","1371","0.26441319629683285","14.81933629222363","2","10.19999999999998","15.492634485809685","5.292634485809705"
"15","0","SUCCESS","6","32768","4000.0","0","0.0","1691","0.3232321921871707","27.707548311990486","2","10.19999999999998","12.905919551702342","2.7059195517023618"
"16","0","SUCCESS","9","32768","2000.0","0","0.0","322","0.05463737587041627","14.784523769119224","2","10.19999999999998","20.41503410229231","10.21503410229233"
"17","0","SUCCESS","9","32768","2000.0","0","0.0","514","0.09406716921725713","12.068219821190835","2","10.19999999999998","19.975034102292312","9.775034102292333"
"18","0","SUCCESS","4","32768","2000.0","0","0.0","970","0.18302208918585697","17.76565555705281","2","10.19999999999998","18.875034102292318","8.675034102292338"
"19","0","SUCCESS","4","32768","2000.0","0","0.0","844","0.1583522156946349","16.18349852393342","2","10.19999999999998","18.985034102292317","8.785034102292338"
"21","0","SUCCESS","9","32768","2000.0","0","0.0","578","0.10725228343854157","11.348000821578106","2","10.19999999999998","19.865034102292313","9.665034102292333"
"22","0","SUCCESS","4","32768","2000.0","0","0.0","900","0.17081047071717262","13.246476725351929","2","10.19999999999998","18.875034102292318","8.675034102292338"
"23","0","SUCCESS","9","32768","2000.0","0","0.0","744","0.14027958339062507","11.588831165440855","2","10.19999999999998","19.535034102292315","9.335034102292335"
"24","0","SUCCESS","9","32768","2000.0","0","0.0","313","0.05355061812372158","12.986134156172657","2","10.19999999999998","20.74503410229231","10.545034102292329"
"25","0","SUCCESS","9","32768","2000.0","0","0.0","582","0.10729206389979538","13.145961342819337","2","10.19999999999998","19.975034102292312","9.775034102292333"
"26","0","SUCCESS","4","32768","2000.0","0","0.0","884","0.1683337159396095","11.54958112186247","2","10.19999999999998","18.76503410229232","8.565034102292339"
"27","0","SUCCESS","6","32768","4000.0","0","0.0","1424","0.2710110570665918","24.86179237668788","2","10.19999999999998","12.905919551702342","2.7059195517023618"
"28","0","SUCCESS","0","32768","2000.0","0","0.0","1347","0.2581442006756133","18.45426929658029","2","10.19999999999998","15.602634485809684","5.402634485809704"
"30","0","SUCCESS","2","32768","1000.0","0","0.0","759","0.14002118105876185","19.880649980385048","2","15.257829822267274","41.29263060042407","26.034800778156793"
"31","0","SUCCESS","3","32768","2000.0","0","0.0","156","0.021685748822883183","14.03532832921468","2","15.257829822267274","19.535034102292315","4.277204280025041"
"32","0","SUCCESS","6","32768","4000.0","0","0.0","81","0.008016450941463471","10.802370178784102","2","15.257829822267274","21.075034102292307","5.817204280025033"
"33","0","SUCCESS","6","32768","4000.0","0","0.0","1252","0.23916566442636786","18.2301394304669","2","15.257829822267274","19.315034102292316","4.057204280025042"
"35","0","SUCCESS","0","32768","2000.0","0","0.0","447","0.0806556896959179","12.256823609060191","2","15.257829822267274","18.279093862670823","3.0212640404035493"
